Region,Maker,Brand,Model,Model year,Supplier,Products,Component category
China,Tesla China,Tesla,Model 3 (RR) (China),2019,"Zhejiang Sanhua Automotive Components Co., Ltd.",Motor oil cooler,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2019,Panasonic Holdings Corporation (Formerly Panasonic Corporation),NCA battery cell (Cylindrial),EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model 3 (USA),2019,Tesla,Lithium-ion battery pack,EV / PHEV / HEV Battery Pack/System
Americas,Tesla,Tesla,Model 3 (USA),2019,Tesla,Lithium-ion battery pack,EV / PHEV / HEV Battery Pack/System
Americas,Tesla,Tesla,Model 3 (USA),2019,Tesla,NCA battery park,EV / PHEV / HEV Battery Pack/System
Americas,Tesla,Tesla,Model 3 (USA),2019,Tesla,Traction motor,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2019,Tesla,Traction motor,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2019,Tesla,Vehicle control unit,Vehicle Control Unit
Americas,Tesla,Tesla,Model 3 (USA),2019,Tesla,Vehicle control unit,Vehicle Control Unit
Americas,Tesla,Tesla,Model S (USA),2019,Panasonic Holdings Corporation (Formerly Panasonic Corporation),NCA battery cell (Cylindrial),EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model S (USA),2019,Tesla,NCA battery park,EV / PHEV / HEV Battery Pack/System
Americas,Tesla,Tesla,Model X (USA),2019,Modine Manufacturing Company,Cooling fan,Cooling Fan / Cooling Fan Motor
Americas,Tesla,Tesla,Model X (USA),2019,SPAL Automotive USA,Cooling fan,Cooling Fan / Cooling Fan Motor
Americas,Tesla,Tesla,Model X (USA),2019,Panasonic Holdings Corporation (Formerly Panasonic Corporation),NCA battery cell (Cylindrial),EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model X (USA),2019,Tesla,NCA battery park,EV / PHEV / HEV Battery Pack/System
Americas,Tesla,Tesla,Model X (USA),2019,Modine Manufacturing Company,Reducer,Reduction Gear for EV
Americas,Tesla,Tesla,Model 3 (USA),2018,Panasonic Holdings Corporation (Formerly Panasonic Corporation),"Lithium-ion battery cell (Cylindrical) (Sourced by MUNRO & ASSOCIATES, USA)",EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model 3 (USA),2018,Tesla,"Lithium-ion battery pack assembly (Sourced by MUNRO & ASSOCIATES, USA)",EV / PHEV / HEV Battery Pack/System
Americas,Tesla,Tesla,Model 3 (USA),2018,Hella GmbH & Co. KGaA (FORVIA HELLA),"HV Battery Charge Plug Retention Micro Actuator (Sourced by MUNRO & ASSOCIATES, USA)",On-board Charger
Americas,Tesla,Tesla,Model 3 (USA),2018,DURA Automotive Systems LLC,"HV Charge Plug Retention Release Cable (Sourced by MUNRO & ASSOCIATES, USA)",On-board Charger
Americas,Tesla,Tesla,Model 3 (USA),2017,Panasonic Holdings Corporation (Formerly Panasonic Corporation),Lithium-ion battery cell (Cylindrical),EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model 3 (USA),2017,Hanon Systems (Formerly Halla Visteon Climate Control),Thermal management module,EV / PHEV / HEV Battery Cooling/Heating System
Americas,Tesla,Tesla,Model 3 (USA),2017,"SSLM Co., Ltd.","Lithim ion battery separator [tier2, supply to: Panasonic]",EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model 3 (USA),2017,Infineon Technologies AG,"Chip, for controlling battery and motor",HV/EV ECU
Americas,Tesla,Tesla,Model S (USA),2016,"Sumitomo Metal Mining Co., Ltd.",Cathode material (lithium nickel oxide) for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
Americas,Tesla,Tesla,Model S (USA),2016,"HOTA Industrial Mfg. Co., Ltd.",Single speed gear reduction,Reduction Gear for EV
Americas,Tesla,Tesla,Model X (USA),2016,SPAL Automotive Srl,Cooling fan module,Battery Control ECU
Americas,Tesla,Tesla,Model X (USA),2016,Modine Manufacturing Company,Cooling module,Battery Control ECU
Americas,Tesla,Tesla,Model X (USA),2016,"Sumitomo Metal Mining Co., Ltd.",Cathode material (lithium nickel oxide) for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
Americas,Tesla,Tesla,Model X (USA),2016,Modine Manufacturing Company,Battery cooling chiller,EV / PHEV / HEV Battery Cooling/Heating System
Americas,Tesla,Tesla,Model X (USA),2016,"HOTA Industrial Mfg. Co., Ltd.",Single speed gear reduction,Reduction Gear for EV
Americas,Tesla,Tesla,Model X (USA),2016,Modine Manufacturing Company,Motor oil cooler,Traction Motor / E-Axle
